"Date","Reference","Category","Outcome","Type","Priority","Status","Score","Venue","Reported By","Assigned To","Severity","Area","Teams"
"01/01/2020 13:46","SEC001164","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"07/06/2024 13:43","SEC001163","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:41","SEC001162","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:39","SEC001161","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:37","SEC001160","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:35","SEC001159","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:34","SEC001158","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:32","SEC001157","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:31","SEC001156","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"07/06/2024 13:30","AA001155","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"07/06/2024 13:29","AA001154","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 17:22","SEC001153","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 17:10","SEC001152","Security & Crime","Violence","Verbal Abuse","High","Emergency Services (Reported to)","-","Automated Name 06_09-23-43","Satish Kumar","-","Critical","-","-"
"01/01/2020 16:59","SEC001151","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"04/06/2024 16:57","SEC001150","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:55","SEC001149","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:53","SEC001148","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:50","SEC001147","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:49","SEC001146","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:47","SEC001145","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:46","SEC001144","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:44","SEC001143","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 16:43","AA001142","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 16:42","AA001141","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 15:59","SEC001140","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/01/2020 15:56","SEC001139","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:44","SEC001138","Security & Crime","Violence","Verbal Abuse","High","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Minor","-","-"
"01/01/2020 15:33","SEC001137","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"04/06/2024 15:30","SEC001136","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:28","SEC001135","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:26","SEC001134","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:24","SEC001133","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:22","SEC001132","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:20","SEC001131","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:19","SEC001130","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:18","SEC001129","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 15:16","AA001128","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 15:15","AA001127","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 14:34","SEC001126","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/01/2020 14:22","SEC001125","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"04/06/2024 14:20","SEC001124","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 14:18","SEC001123","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 14:15","SEC001122","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 14:14","SEC001121","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 14:12","SEC001120","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 14:10","SEC001119","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 14:09","SEC001118","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 14:08","AA001117","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 14:06","AA001116","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 11:52","SEC001115","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/01/2020 11:41","SEC001114","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"04/06/2024 11:38","SEC001113","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:36","SEC001112","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:34","SEC001111","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:31","SEC001110","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:29","SEC001109","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:28","SEC001108","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:26","SEC001107","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:25","SEC001106","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"04/06/2024 11:23","AA001105","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"04/06/2024 11:22","AA001104","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"30/05/2024 15:58","SEC001103","Security & Crime","Violence","Verbal Abuse","Medium","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 11:45","DOB001102","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"30/05/2024 10:24","SEC001101","Security & Crime","Violence","Verbal Abuse","High","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"01/01/2020 10:13","SEC001100","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"30/05/2024 10:11","SEC001099","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 10:08","SEC001098","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 10:07","SEC001097","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 10:04","SEC001096","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 10:03","SEC001095","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 10:01","SEC001094","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 10:00","SEC001093","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 09:58","SEC001092","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"30/05/2024 09:57","AA001091","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"30/05/2024 09:56","AA001090","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"29/05/2024 15:11","DOB001089","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"29/05/2024 13:15","SEC001088","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 12:59","SEC001087","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","-","Satish Kumar","-","Moderate","-","-"
"29/05/2024 11:21","SEC001086","Security & Crime","Violence","Verbal Abuse","High","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Critical","-","-"
"01/01/2020 11:10","SEC001085","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"29/05/2024 11:08","SEC001084","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 11:06","SEC001083","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 11:04","SEC001082","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 11:02","SEC001081","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 11:00","SEC001080","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 10:58","SEC001079","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 10:57","SEC001078","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 10:56","SEC001077","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"29/05/2024 10:54","AA001076","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"29/05/2024 10:53","AA001075","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"28/05/2024 17:46","AA001074","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","-","Satish Kumar","-","Major","-","-"
"28/05/2024 17:46","SEC001073","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 17:45","SEC001072","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 16:18","SEC001060","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 16:11","SEC001058","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 16:07","SEC001056","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 16:05","SEC001054","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 16:03","AA001053","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"28/05/2024 15:00","SEC001051","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","-","Satish Kumar","-","Moderate","-","-"
"28/05/2024 14:58","SEC001049","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 14:57","SEC001048","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"28/05/2024 12:26","DOB001047","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 16:58","DOB001046","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 16:23","SEC001045","Security & Crime","Violence","Verbal Abuse","High","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Critical","-","-"
"01/01/2020 16:12","SEC001044","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"27/05/2024 16:10","SEC001043","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 16:08","SEC001042","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 16:06","SEC001041","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 16:03","SEC001040","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 16:02","SEC001039","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 16:00","SEC001038","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 15:59","SEC001037","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 15:58","SEC001036","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 15:56","AA001035","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"27/05/2024 15:55","AA001034","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"27/05/2024 15:45","DOB001033","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 15:34","DOB001032","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 15:14","DOB001031","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 14:38","DOB001030","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 14:32","DOB001029","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 13:25","DOB001028","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 13:19","DOB001027","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 13:14","DOB001026","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 13:09","DOB001025","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 13:06","SEC001024","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 12:21","DOB001023","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","Automated Name 06_09-23-43","Satish Kumar","-","-","-","-"
"27/05/2024 12:17","DOB001022","Daily Occurrence Book","Daily Occurrence Book","DOB Entry","-","DOB Entry","-","31st Main Road","Satish Kumar","-","-","-","-"
"27/05/2024 11:16","SEC001021","Security & Crime","Violence","Verbal Abuse","Low","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Critical","-","-"
"01/01/2020 11:05","SEC001020","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"27/05/2024 11:03","SEC001019","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 11:01","SEC001018","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 10:59","SEC001017","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 10:57","SEC001016","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 10:55","SEC001015","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 10:53","SEC001014","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 10:52","SEC001013","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 10:51","SEC001012","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"27/05/2024 10:49","AA001011","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"27/05/2024 10:48","AA001010","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"27/05/2024 10:19","SEC001009","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:54","SEC001008","Security & Crime","Violence","Verbal Abuse","Low","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Critical","-","-"
"01/01/2020 11:44","SEC001007","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","Satish Kumar","Moderate","-","-"
"24/05/2024 11:42","SEC001006","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:40","SEC001005","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:38","SEC001004","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:36","SEC001003","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:35","SEC001002","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:33","SEC001001","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:32","SEC001000","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:31","SEC000999","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 11:30","AA000998","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"24/05/2024 11:29","AA000997","Alarm Activations","Activated Alarms","Alarm Not Set","High","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Major","-","-"
"24/05/2024 10:50","SEC000996","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 10:39","SEC000995","Security & Crime","Violence","Verbal Abuse","Medium","New (Reported/Submitted)","-","Automated Name 06_09-23-43","Satish Kumar","-","Moderate","-","-"
"24/05/2024 10:28","SEC000994","Security & Crime","Violence","Verbal Abuse","High","Under Investigation","-","Automated Name 06_09-23-43","Satish Kumar","-","Minor","-","-"
